ID,OriginallyMassAction,OriginallyPolynomial,NumberReactions,IrrelevantSpecies,EffectivelyFullRank,Consistent,IntegerCoefficients,Linear,NondegenerateWrtConservationLaws,Nondegenerate,SpeciesWithGenericLocalACR
BIOMD0000000468,false,false,90,"[1, 15, 18, 24, 79]",false,false,true,false,,,
BIOMD0000000474,false,false,367,"[10, 11, 12, 17, 18, 28, 31, 33, 41, 47, 52, 54, 57, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133]",false,false,true,false,,,
BIOMD0000000475,true,true,25,Int64[],false,false,true,false,,,
BIOMD0000000476,false,false,41,Int64[],true,true,true,true,true,true,Int64[]
BIOMD0000000477,false,false,49,Int64[],false,false,true,true,,,
BIOMD0000000478,false,true,39,Int64[],false,false,true,false,,,
BIOMD0000000482,false,false,37,Int64[],false,false,true,false,,,
BIOMD0000000483,false,true,8,Int64[],false,true,true,false,true,true,Int64[]
BIOMD0000000484,false,true,2,Int64[],false,true,true,true,true,true,Int64[]
BIOMD0000000485,false,true,4,Int64[],false,true,true,true,true,true,Int64[]
BIOMD0000000486,true,true,2,Int64[],false,true,true,true,true,true,Int64[]
BIOMD0000000487,true,true,6,Int64[],false,true,true,false,true,true,Int64[]
BIOMD0000000489,false,false,84,Int64[],false,false,true,false,,,
BIOMD0000000491,true,true,172,Int64[],false,true,true,true,true,true,Int64[]
BIOMD0000000492,true,true,176,Int64[],false,true,true,true,true,true,Int64[]
BIOMD0000000498,false,false,44,Int64[],true,false,true,false,,,
BIOMD0000000499,false,false,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",true,true,true,true,,,
BIOMD0000000500,true,true,36,Int64[],false,true,true,false,true,true,Int64[]
BIOMD0000000501,true,true,114,Int64[],false,true,true,false,true,true,Int64[]
BIOMD0000000502,false,false,16,"[13, 14, 15, 16, 17, 18, 19, 20, 21]",false,false,true,false,,,
BIOMD0000000504,false,true,132,[37],false,false,true,false,,,
BIOMD0000000505,false,false,118,"[46, 47, 48, 49, 50, 51, 52, 53, 54]",true,true,true,false,true,true,Int64[]
BIOMD0000000506,false,false,118,"[46, 47, 48, 49, 50, 51, 52, 53, 54]",true,true,true,false,true,true,Int64[]
BIOMD0000000507,false,false,4,[3],true,true,true,true,true,true,Int64[]
BIOMD0000000510,false,false,66,[12],false,false,true,false,,,
BIOMD0000000511,false,false,66,[12],false,false,true,false,,,
BIOMD0000000512,false,false,75,Int64[],true,false,true,true,,,
BIOMD0000000513,false,false,39,"[11, 23, 24]",false,false,true,false,,,
BIOMD0000000514,false,false,64,[11],false,false,true,false,,,
BIOMD0000000515,false,false,74,[16],false,false,true,false,,,
BIOMD0000000516,false,false,75,[15],false,false,true,false,,,
BIOMD0000000517,false,false,9,Int64[],true,true,true,true,false,false,Int64[]
BIOMD0000000518,false,false,9,Int64[],true,true,true,true,false,false,Int64[]
BIOMD0000000519,false,true,7,Int64[],true,true,true,true,false,false,Int64[]
BIOMD0000000520,false,false,7,Int64[],true,true,true,true,false,false,Int64[]
BIOMD0000000521,false,true,0,"[1, 2, 3, 4]",true,true,true,true,,,
BIOMD0000000522,false,false,0,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",true,true,true,true,,,
BIOMD0000000523,false,false,13,"[1, 18]",false,false,true,false,,,
